"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","DAC接口","设备产量","0","0","1","0","0"
"","DAC接口--时间状态统计表","设备时间状态统计","0","0","1","0","0"
"","DAC接口","历史数据接口","0","0","1","0","0"
"","DAC接口","单台设备的信息","0","0","1","0","0"
"","DAC接口","变量信息表","0","0","1","0","0"
"","DAC接口","单台设备实时信息","0","0","1","0","0"
"","DAC接口--设备产量效率统计报表","获取所有设备信息","0","0","1","0","0"
"","DAC接口--时间状态统计表","设备产量效率统计","0","0","1","0","0"
"","DAC接口","实时数据接口","0","0","1","0","0"
"","DAC接口","设备信息表","0","0","1","0","0"
"","DAC接口","网关信息表","0","0","1","0","0"
"","DAC接口--机器人报表","焊丝用量统计","0","0","1","0","0"
"","DAC接口--机器人报表","上下料时长统计","0","0","1","0","0"
"","DAC接口--时间状态统计表","加工程序","0","0","1","0","0"
"","DAC接口","告警数据接口","0","0","1","0","0"
"","DAC接口--机器人报表","生产节拍统计","0","0","1","0","0"
